root;sendfile;compression;noCompression;serverCache;keepalive;basicAuth;tls;ecdsaCertificate;aesTls;tlsMoreBits;mpm;event;worker;processCount;compressionLevel;threadCount;performance;energy
1;0;0;1;0;0;0;0;0;0;0;1;0;1;64;1;16;4.663200;180.600000
1;0;0;1;0;0;0;0;0;0;0;1;0;1;32;1;32;4.430000;203.600000
1;0;0;1;0;0;0;0;0;0;0;1;0;1;64;1;32;4.970200;177.200000
1;0;0;1;0;0;0;0;0;0;0;1;0;1;16;1;64;2.874800;110.000000
1;0;0;1;0;0;0;0;0;0;0;1;0;1;32;1;64;2.864800;107.600000
1;0;0;1;0;0;0;0;0;0;0;1;0;1;64;1;64;2.913400;116.000000
1;0;0;1;0;0;0;0;0;0;0;1;0;1;8;1;128;3.479000;135.400000
1;0;0;1;0;0;0;0;0;0;0;1;0;1;16;1;128;4.026600;152.600000
1;0;0;1;0;0;0;0;0;0;0;1;0;1;32;1;128;3.154200;98.000000
1;0;0;1;0;0;0;0;0;0;0;1;0;1;64;1;128;3.392000;122.200000
1;0;0;1;0;0;0;0;0;0;0;1;0;1;8;1;256;3.719600;146.400000
1;0;0;1;0;0;0;0;0;0;0;1;0;1;16;1;256;3.374400;153.000000
1;0;0;1;0;0;0;0;0;0;0;1;0;1;32;1;256;3.611600;164.600000
1;0;0;1;0;0;0;0;0;0;0;1;0;1;64;1;256;3.679800;149.000000
1;0;0;1;0;0;0;0;0;0;0;1;1;0;64;1;16;2.725800;105.400000
1;0;0;1;0;0;0;0;0;0;0;1;1;0;32;1;32;2.760000;112.400000
1;0;0;1;0;0;0;0;0;0;0;1;1;0;64;1;32;2.751800;122.200000
1;0;0;1;0;0;0;0;0;0;0;1;1;0;16;1;64;2.980400;105.800000
1;0;0;1;0;0;0;0;0;0;0;1;1;0;32;1;64;2.924200;117.600000
1;0;0;1;0;0;0;0;0;0;0;1;1;0;64;1;64;2.823000;98.800000
1;0;0;1;0;0;0;0;0;0;0;1;1;0;8;1;128;3.621000;138.600000
1;0;0;1;0;0;0;0;0;0;0;1;1;0;16;1;128;3.533400;157.000000
1;0;0;1;0;0;0;0;0;0;0;1;1;0;32;1;128;3.240200;101.200000
1;0;0;1;0;0;0;0;0;0;0;1;1;0;64;1;128;3.767600;171.200000
1;0;0;1;0;0;0;0;0;0;0;1;1;0;8;1;256;4.079000;159.800000
1;0;0;1;0;0;0;0;0;0;0;1;1;0;16;1;256;3.748000;163.200000
1;0;0;1;0;0;0;0;0;0;0;1;1;0;32;1;256;3.912000;175.000000
1;0;0;1;0;0;0;0;0;0;0;1;1;0;64;1;256;4.016400;147.600000
1;0;0;1;0;0;1;0;0;0;0;1;0;1;64;1;16;14.107200;569.000000
1;0;0;1;0;0;1;0;0;0;0;1;0;1;32;1;32;13.954600;540.400000
1;0;0;1;0;0;1;0;0;0;0;1;0;1;64;1;32;7.637000;375.600000
